,FECHA_ENT
576,2019-10-16
577,2019-10-23
578,2019-10-15
579,2019-10-23
580,2019-10-23
581,2019-10-24
582,2019-10-16
583,2019-10-16
584,2019-10-23
585,2019-10-23
586,2019-10-23
587,2019-10-23
588,2019-10-17
589,2019-10-23
590,2019-10-23
591,2019-10-09
592,2019-10-23
593,2019-10-23
594,2019-10-23
595,2019-10-23
596,2019-10-22
597,2019-10-22
598,2019-10-28
599,2019-10-24
600,2019-10-24
601,2019-10-24
602,2019-10-24
603,2019-10-24
604,2019-10-24
605,2019-10-15
606,2019-10-24
607,2019-10-24
608,2019-10-24
609,2019-10-24
610,2019-10-24
611,2019-10-24
612,2019-10-24
613,2019-10-24
614,2019-10-24
615,2019-10-24
616,2019-10-24
617,2019-10-25
618,2019-10-25
619,2019-10-25
620,2019-10-14
621,2019-10-25
622,2019-10-18
623,2019-10-25
624,2019-10-25
625,2019-10-23
626,2019-10-23
627,2019-10-25
628,2019-10-28
629,2019-10-28
630,2019-10-28
631,2019-10-28
632,2019-10-28
633,2019-10-28
634,2019-10-28
635,2019-10-28
636,2019-10-28
637,2019-10-23
638,2019-10-28
639,2019-10-30
640,2019-10-25
641,2019-10-24
642,2019-10-18
643,2019-10-23
644,2019-10-17
645,2019-10-18
646,2019-10-29
647,2019-10-18
648,2019-10-29
649,2019-10-29
650,2019-10-29
651,2019-10-29
652,2019-10-29
653,2019-10-29
654,2019-10-29
655,2019-10-29
656,2019-10-30
657,2019-10-25
658,2019-10-17
659,2019-10-31
660,2019-10-30
661,2019-10-30
662,2019-10-30
663,2019-10-30
664,2019-10-30
665,2019-10-17
666,2019-10-30
667,2019-10-24
668,2019-10-30
669,2019-10-16
670,2019-10-30
671,2019-10-30
672,2019-10-30
673,2019-10-30
674,2019-10-30
675,2019-10-22
676,2019-10-23
677,2019-10-18
678,2019-10-31
679,2019-10-31
680,2019-10-31
681,2019-10-31
682,2019-10-31
683,2019-10-31
684,2019-10-31
685,2019-10-16
686,2019-10-31
687,2019-10-23
688,2019-10-21
689,2019-10-24
690,2019-10-31
691,2019-10-31
692,2019-10-31
693,2019-10-31
694,2019-10-31
695,2019-10-31
696,2019-10-31
697,2019-10-31
698,2019-10-31
699,2019-10-31
700,2019-10-31
701,2019-10-31
702,2019-10-31
703,2019-10-25
704,2019-10-31
705,2019-11-04
706,2019-11-04
707,2019-10-25
708,2019-11-04
709,2019-11-04
710,2019-11-04
711,2019-11-04
712,2019-11-04
713,2019-11-04
714,2019-11-04
715,2019-11-04
716,2019-11-04
717,2019-11-04
718,2019-11-04
719,2019-11-04
720,2019-11-04
721,2019-11-04
722,2019-12-02
723,2019-11-04
724,2019-09-27
725,2019-11-04
726,2019-11-04
727,2019-11-04
728,2019-11-04
729,2019-11-04
730,2019-10-28
731,2019-11-04
732,2019-11-05
733,2019-10-31
734,2019-10-28
735,2019-11-05
736,2019-11-05
737,2019-11-05
738,2019-11-05
739,2019-11-05
740,2019-11-05
741,2019-11-05
742,2019-11-05
743,2019-10-28
744,2019-11-05
745,2019-11-05
746,2019-11-06
747,2019-11-06
748,2019-11-06
749,2019-11-06
750,2019-11-04
751,2019-11-06
752,2019-11-06
753,2019-10-23
754,2019-11-06
755,2019-11-06
756,2019-11-06
757,2019-11-06
758,2019-11-06
759,2019-11-11
760,2019-11-07
761,2019-11-07
762,2019-11-07
763,2019-11-07
764,2019-11-07
765,2019-11-07
766,2019-10-21
767,2019-10-31
768,2019-11-07
769,2019-11-07
770,2019-11-07
771,2019-11-07
772,2019-11-07
773,2019-11-07
774,2019-11-07
775,2019-11-07
776,2019-11-07
777,2019-11-07
778,2019-10-25
779,2019-11-07
780,2019-11-08
781,2019-10-28
782,2019-11-08
783,2019-11-04
784,2019-11-06
785,2019-11-08
786,2019-11-08
787,2019-11-08
788,2019-11-08
789,2019-11-08
790,2019-11-11
791,2019-11-11
792,2019-11-07
793,2019-11-11
794,2019-11-11
795,2019-11-11
796,2019-11-11
797,2019-11-11
798,2019-11-01
799,2019-11-11
800,2019-11-11
801,2019-11-07
802,2019-10-30
803,2019-11-05
804,2019-11-07
805,2019-11-11
806,2019-11-12
807,2019-10-28
808,2019-11-07
809,2019-11-11
810,2019-10-25
811,2019-11-12
812,2019-11-11
813,2019-11-11
814,2019-11-11
815,2019-11-12
816,2019-11-11
817,2019-11-12
818,2019-11-04
819,2019-11-12
820,2019-11-12
821,2019-10-14
822,2019-11-12
823,2019-11-12
824,2019-11-12
825,2019-11-12
826,2019-11-01
827,2019-11-12
828,2019-09-06
829,2019-11-12
830,2019-11-06
831,2019-11-08
832,2019-10-30
833,2019-11-13
834,2019-11-13
835,2019-11-13
836,2019-11-13
837,2019-11-01
838,2019-11-08
839,2019-11-13
840,2019-11-04
841,2019-11-12
842,2019-10-28
843,2019-10-18
844,2019-11-15
845,2019-10-22
846,2019-11-13
847,2019-11-13
848,2019-11-14
849,2019-11-14
850,2019-11-14
851,2019-11-14
852,2019-11-13
853,2019-11-14
854,2019-11-06
855,2019-11-14
856,2019-11-14
857,2019-10-21
858,2019-10-17
859,2019-10-17
860,2019-10-30
861,2019-11-08
862,2019-11-08
863,2019-11-15
864,2019-11-19
865,2019-10-30
866,2019-11-15
867,2019-11-15
868,2019-10-30
869,2019-11-14
870,2019-11-15
871,2019-11-15
872,2019-11-15
873,2019-11-11
874,2019-11-15
875,2019-11-19
876,2019-11-19
877,2019-11-19
878,2019-11-19
879,2019-11-04
880,2019-11-19
881,2019-11-19
882,2019-11-20
883,2019-11-20
884,2019-11-20
885,2019-11-20
886,2019-11-19
887,2019-11-07
888,2019-11-20
889,2019-11-20
890,2019-11-20
891,2019-11-12
892,2019-11-20
893,2019-11-20
894,2019-11-11
895,2019-11-20
896,2019-10-30
897,2019-11-20
898,2019-11-20
899,2019-11-08
900,2019-11-21
901,2019-11-26
902,2019-11-19
903,2019-11-21
904,2019-11-13
905,2019-11-15
906,2019-11-15
907,2019-11-21
908,2019-11-15
909,2019-11-21
910,2019-11-11
911,2019-11-21
912,2019-11-04
913,2019-11-21
914,2019-11-21
915,2019-11-21
916,2019-11-11
917,2019-10-29
918,2019-10-25
919,2019-11-07
920,2019-11-22
921,2019-11-22
922,2019-11-13
923,2019-11-22
924,2019-11-22
925,2019-11-22
926,2019-11-19
927,2019-11-19
928,2019-11-12
929,2019-10-28
930,2019-11-05
931,2019-11-19
932,2019-11-21
933,2019-11-22
934,2019-11-29
935,2019-11-22
936,2019-11-22
937,2019-11-22
938,2019-11-22
939,2019-11-22
940,2019-11-22
941,2019-11-29
942,2019-11-21
943,2019-11-25
944,2019-11-25
945,2019-11-25
946,2019-11-25
947,2019-11-08
948,2019-11-25
949,2019-11-08
950,2019-11-13
951,2019-11-15
952,2019-11-25
953,2019-11-25
954,2019-11-22
955,2019-11-25
956,2019-11-15
957,2019-11-25
958,2019-11-25
959,2019-11-22
960,2019-11-25
961,2019-11-25
962,2019-11-21
963,2019-11-15
964,2019-11-28
965,2019-11-26
966,2019-11-26
967,2019-11-25
968,2019-11-26
969,2019-11-26
970,2019-11-26
971,2019-11-26
972,2019-11-26
973,2019-11-26
974,2019-11-26
975,2019-11-13
976,2019-11-26
977,2019-11-08
978,2019-11-26
979,2019-11-20
980,2019-11-26
981,2019-11-26
982,2019-11-27
983,2019-10-23
984,2019-11-13
985,2019-11-13
986,2019-11-13
987,2019-11-12
988,2019-11-13
989,2019-11-21
990,2019-11-15
991,2019-11-27
992,2019-11-08
993,2019-11-27
994,2019-11-27
995,2019-11-27
996,2019-11-27
997,2019-11-19
998,2019-11-28
999,2019-11-28
1000,2019-11-14
1001,2019-11-22
1002,2019-11-22
1003,2019-09-18
1004,2019-10-30
1005,2019-11-25
1006,2019-10-29
1007,2019-11-27
1008,2019-11-28
1009,2019-11-22
1010,2019-11-28
1011,2019-11-28
1012,2019-11-28
1013,2019-11-28
1014,2019-11-22
1015,2019-11-22
1016,2019-11-28
1017,2019-11-14
1018,2019-11-28
1019,2019-11-28
1020,2019-11-28
1021,2019-11-29
1022,2019-11-29
1023,2019-11-21
1024,2019-11-29
1025,2019-11-29
1026,2019-11-15
